Comment,Designator,Footprint,LCSC
1k,"R1,R10,R11,R12,R14,R15,R16,R17,R18,R19,R20,R21,R26,R27,R28,R5,R6,R7,R8,R9",R_0402_1005Metric,C11702
TXS02612RTWR,U4,TXS02612RTWR,C140276
AO3401A,Q2,SOT-23,C15127
0.1u,"C10,C11,C12,C13,C14,C15,C7,C8,C9",C_0402_1005Metric,C1525
10u,C16,C_0805_2012Metric,C15850
0.47u,"C2,C4",C_0603_1608Metric,C1623
0,R24,R_0402_1005Metric,C17168
LSF0108PWR,"U6,r22",LSF0108PWR,C190219
D_Shockley,"D2,D3",D_SOD-323,C191023
S8050,Q3,SOT-23,C2146
LED,"D1,D4",LED_0603_1608Metric,C2286
68k,R30,R_0603_1608Metric,C23231
2.2u,"C3,C5",C_0603_1608Metric,C23630
10k,"R2,R23,R25,R29,R3,R31",R_0402_1005Metric,C25744
200k,"R13,R4",R_0402_1005Metric,C25764
spresense,U1,SPRESENSE_CONNECTOR,C424649
1u,"C1,C6",C_0402_1005Metric,C52923
SM4007PL,D5,D_SOD-123F,C64898
DM3D-SF,U5,DM3D-SF,C719027
2N7000,Q1,SOT-23,C8545
TB6612FNG,U8,SSOP-24_5.3x8.2mm_P0.65mm,C88224
SW_DIP_x02,SW3,SW_DIP_SPSTx02_Slide_6.7x6.64mm_W7.62mm_P2.54mm_LowProfile,
BNO055_FUSION,U10,BNO055_FUSION,
NJM2845-50,U2,TO-252-2,
PWR,SW1,SW-TH_SK-12D02VG4,
battery,J1,JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical,
I2C,J2,PinHeader_1x04_P2.54mm_Vertical,
SPI,J6,PinHeader_1x04_P2.54mm_Vertical,
Buzzer,BZ1,UGCM0603APE,
NJM2845-33,U3,TO-252-2,
TWE-L-WX,U9,MonoWireless_TWE-L-WX,
TWELITE R,J8,PinSocket_1x07_P2.54mm_Vertical,
D_Photo,D6,CDS,
NiCr_Wire1,J9,TerminalBlock_TE_282834-2_1x02_P2.54mm_Horizontal,
motorB,J5,PinHeader_1x02_P2.54mm_Horizontal,
motorA,J4,PinHeader_1x02_P2.54mm_Horizontal,
DNP,C18,C_0805_2012Metric,
DNP,C17,C_0805_2012Metric,
SW_DIP_x01,SW2,PinHeader_1x02_P2.54mm_Vertical,
